"","date","hteam","ateam","hfinal","afinal"
"1","03/04/2017","Portland","Minnesota United",5,1
"2","03/04/2017","Columbus","Chicago",1,1
"3","03/04/2017","L.A. Galaxy","FC Dallas",1,2
"4","03/04/2017","Salt Lake","Toronto",0,0
"5","03/04/2017","Colorado","New England",1,0
"6","03/05/2017","DC United","Kansas City",0,0
"7","03/05/2017","Houston","Seattle",2,1
"8","03/05/2017","San Jose","Montreal",1,0
"9","03/05/2017","Orlando City","New York City FC",1,0
"10","03/06/2017","Atlanta United","New York",1,2
"11","03/06/2017","Vancouver","Philadelphia",0,0
"12","03/11/2017","Chicago","Salt Lake",2,0
"13","03/11/2017","New York","Colorado",1,0
"14","03/11/2017","Philadelphia","Toronto",2,2
"15","03/12/2017","Houston","Columbus",3,1
"16","03/12/2017","Montreal","Seattle",2,2
"17","03/12/2017","Kansas City","FC Dallas",0,0
"18","03/12/2017","San Jose","Vancouver",3,2
"19","03/12/2017","New York City FC","DC United",4,0
"20","03/12/2017","Minnesota United","Atlanta United",1,6
"21","03/12/2017","L.A. Galaxy","Portland",0,1
"22","03/18/2017","New York City FC","Montreal",1,1
"23","03/18/2017","Atlanta United","Chicago",4,0
"24","03/18/2017","Vancouver","Toronto",0,2
"25","03/18/2017","DC United","Columbus",0,2
"26","03/18/2017","Orlando City","Philadelphia",2,1
"27","03/19/2017","FC Dallas","New England",2,1
"28","03/19/2017","Kansas City","San Jose",2,1
"29","03/19/2017","Colorado","Minnesota United",2,2
"30","03/19/2017","Salt Lake","L.A. Galaxy",1,2
"31","03/19/2017","Portland","Houston",4,2
"32","03/19/2017","Seattle","New York",3,1
"33","03/25/2017","New England","Minnesota United",5,2
"34","03/25/2017","New York","Salt Lake",0,0
"35","03/25/2017","Columbus","Portland",3,2
"36","04/01/2017","Toronto","Kansas City",0,0
"37","04/01/2017","Seattle","Atlanta United",0,0
"38","04/01/2017","New York City FC","San Jose",2,1
"39","04/01/2017","Chicago","Montreal",2,2
"40","04/01/2017","Columbus","Orlando City",2,0
"41","04/02/2017","DC United","Philadelphia",2,1
"42","04/02/2017","Minnesota United","Salt Lake",4,2
"43","04/02/2017","Houston","New York",4,1
"44","04/02/2017","Vancouver","L.A. Galaxy",4,2
"45","04/03/2017","Portland","New England",1,1
"46","04/08/2017","L.A. Galaxy","Montreal",2,0
"47","04/08/2017","New England","Houston",2,0
"48","04/08/2017","Chicago","Columbus",1,0
"49","04/08/2017","DC United","New York City FC",2,1
"50","04/09/2017","Philadelphia","Portland",1,3
"51","04/09/2017","Toronto","Atlanta United",2,2
"52","04/09/2017","FC Dallas","Minnesota United",2,0
"53","04/09/2017","Salt Lake","Vancouver",3,0
"54","04/09/2017","San Jose","Seattle",1,1
"55","04/09/2017","Orlando City","New York",1,0
"56","04/10/2017","Kansas City","Colorado",3,1
"57","04/15/2017","Philadelphia","New York City FC",0,2
"58","04/15/2017","Vancouver","Seattle",2,1
"59","04/15/2017","San Jose","FC Dallas",1,1
"60","04/15/2017","Montreal","Atlanta United",2,1
"61","04/15/2017","Orlando City","L.A. Galaxy",2,1
"62","04/15/2017","Chicago","New England",3,0
"63","04/16/2017","New York","DC United",2,0
"64","04/16/2017","Columbus","Toronto",2,1
"65","04/16/2017","Houston","Minnesota United",2,2
